Manufacturer,Model,Power (kW),SFC,Length,Diameter,Weight (kg)
MTU/Rolls-Royce,MTR 390,1160,0.279807598,1.07696,0.68326,169.2
Napier,Gazelle NGa.22 Mk.165,1193,0.419711398,1.905,1.0795,401
Napier,Gazelle NGa.22 Mk.165C,1193,0.419711398,1.905,1.0795,401
GE,T700-GE-700,1210,0.282848985,1.1684,0.635,198.2
GE,CT7-2A,1212,0.287715204,1.1938,0.6604,200.5
de Havilland (Bristol Siddeley),Gnome H.1400-1,1238,0.37713198,1.39192,0.57658,147.9
Isotov (Klimov),TV2-117A,1245,0.364966433,2.8321,0.74422,337.9
GE,T700-GE-401,1283,0.282240708,1.1684,0.635,200
GE,T700-GE-701,1283,0.282240708,1.1684,0.635,198.7
GE,T700-GE-701A,1283,0.282848985,1.1684,0.635,198.7
Pratt Whitney Canada,PT6T-3B-1,1342,0.362533323,1.7018,1.1176,299.4
Avco Lycoming,T53-L-703,1342,0.345501556,1.20904,0.5842,247.2
KHI,T53-K-703,1342,0.345501556,1.20904,0.5842,247.2
GE,T700-GE-401C,1342,0.279199321,1.1684,0.635,207.7
IHI,T700-IHI-401C,1342,0.279199321,1.1684,0.635,207.7
GE,T58-GE-16,1394,0.322387016,1.60782,0.61468,199.6
Turbomeca,Makila 1A1,1400,0.292581424,1.39446,0.51562,242.7
GE,T700-GE-701C,1409,0.281024153,1.1684,0.635,206.8
GE,T700-GE-701D,1450,0.282848985,1.1684,0.635,206.8
Pratt Whitney Canada,PW120A,1491,0.295014533,2.1336,0.7874,423.2
GE,T700-GE-T6A,1491,0.273724825,1.22428,0.635,220
GE,CT7-6A1,1600,0.270683438,1.22428,0.635,223.6
GE,T700-GE-T6A-1,1600,0.270683438,1.22428,0.635,223.6
Rolls-Royce/Turbomeca,RTM 322-01/8,1641,0.273724825,1.17094,0.65786,244.5
Rolls-Royce/Turbomeca,RTM 322-02/8,1641,0.273724825,1.17094,0.65786,244.5
GE,T700-GE-T6E,1693,0.263992386,1.22428,0.635,240.9
GE,T700-GE-T6E-1,1693,0.263992386,1.22428,0.635,243.6
Rolls-Royce/Turbomeca,RTM 322-01/9,1812,0.255476503,1.17094,0.65786,226.3
Avco Lycoming,YT55-L-9,1864,0.369832652,1.57988,0.61468,362.4
GE,T64-GE-P4D-1,2535,0.291973146,2.794,0.51054,538.9
GE,T64-GE-16A,2599,0.291973146,2.0066,0.61468,326.6
Avco Lycoming,T55-L-712,2796,0.316304242,1.2319,0.72898,344.7
Avco Lycoming,T55-L-712E,2796,0.316304242,1.2319,0.72898,344.7
Avco Lycoming,T55-L-712F,2796,0.316304242,1.2319,0.72898,344.7
KHI,T55-K-712,2796,0.316304242,1.2319,0.72898,244.9
MTU,T64-MTU-7,2927,0.291973146,2.0066,0.51054,323
GE,T64-GE-413,2927,0.285890372,2.0066,0.61468,326.6
GE,T64-GE-413A,2927,0.285890372,2.0066,0.61468,326.6
GE,T64-GE-7A,2935,0.285890372,2.0066,0.51054,326.6
GE,T64-GE-100,3229,0.291973146,2.0066,0.61468,326.6
GE,T64-GE-415,3266,0.285890372,2.0066,0.61468,326.6
Pratt Whitney,T73-P-1,3356,0.419711398,,0.8636,417.3
