,Manufacturer,Model,Application(s),Power,SFC,Airflow,OPR,Number,LPC,HPC,HPT,IPT,LPT,Length,Diameter,Weight
34,de Havilland (Bristol Siddeley),Gnome H.1400-1,"Sea King HAS.2/HAR.3/HC.4/HAS.5/HAS.6/ASW.6, A 101G",1237.862,0.377131980461916,14.0,8.5,1 + FT,,10,2.0,,1.0,1.3919199999999998,0.57658,147.870992
35,Glushenkov (OMKB),GTD-350,Mi-2RM/URN/URP/US 'Hoplite',293.80580000000003,0.510953005787112,5.0,6.1,1 + FT,,7 + 1C,1.0,,2.0,1.3817599999999999,0.62992,139.252744
36,Avco Lycoming,LTP 101-600A-1A,P.166-DL3,458.6055,0.3309028989859392,,8.5,1 + FT,,1 + 1C,1.0,,1.0,0.9499599999999999,0.59182,147.4174
37,Avco Lycoming,LTP 101-700A-1A,P.166-DLR-MAR,521.99,0.3309028989859392,,,1 + FT,,1 + 1C,1.0,,1.0,0.9499599999999999,0.59182,147.4174
38,Avco Lycoming,LTS 101-750B-2,HH-65A/B/C,553.3094,0.346718111069826,,8.8,1 + FT,,1 + 1C,1.0,,1.0,0.8229599999999999,0.6273799999999999,121.562656
39,Turbomeca,Makila 1A1,AS532AC/AL/SC/UC/UL,1399.6789,0.29258142355190575,,,1 + FT,,3 + 1C,2.0,,2.0,1.3944599999999998,0.51562,242.67172
40,MTU/Rolls-Royce,MTR 390,"Tiger PAH/HAC, HAP, UHT",1160.3092000000001,0.279807598407228,7.0,14.0,1 + FT,,2C,1.0,,2.0,1.07696,0.68326,169.189816
41,Kuznetsov,NK-12M,Tu-95M 'Bear-A',11032.631500000001,0.21897985962304797,143.0,13.0,1,,14,5.0,,,5.999479999999999,1.15062,2350.060152
42,Pratt Whitney Canada,PT6A-25,T-34C,533.1755,0.383214754340334,,,1 + FT,,3 + 1C,2.0,,1.0,1.5748,0.4826,160.117976
43,Pratt Whitney Canada,PT6A-25A,"PC-7, PZL-130T/TE",484.70500000000004,0.383214754340334,,,1 + FT,,3 + 1C,2.0,,1.0,1.5748,0.4826,155.582056
44,Pratt Whitney Canada,PT6A-25C,"EMB-312 Tucano, PZL-103TD",559.275,0.361925045765871,,,1 + FT,,3 + 1C,2.0,,1.0,1.5748,0.4826,151.95332
45,Pratt Whitney Canada,PT6A-27,"UV-18A/B, CC-138 Twin Otter, G-21G Turbo-Goose",462.334,0.36618298748076356,7.0,6.7,1 + FT,,3 + 1C,2.0,,1.0,1.5748,0.4826,148.778176
