,Manufacturer,Model,Application(s),Power,SFC,Airflow,OPR,Number,LPC,HPC,HPT,IPT,LPT,Length,Diameter,Weight
33,Avco Lycoming,LTS 101-650C-3,Bell 222,503.3475,0.3479346658455095,,8.4,1 + FT,,1 + 1C,1.0,,1.0,0.79502,0.57404,109.31567199999999
34,Avco Lycoming,LTS 101-650C-3A,Bell 222,503.3475,0.3479346658455095,,8.4,1 + FT,,1 + 1C,1.0,,1.0,0.79502,0.57404,109.31567199999999
35,Avco Lycoming,LTS 101-750B-1,BK117B/B1/B2,542.1239,0.35097605278471855,,8.4,1 + FT,,1 + 1C,1.0,,1.0,0.79502,0.64516,122.923432
36,Avco Lycoming,LTS 101-750B-2,AS366,553.3094,0.346718111069826,,8.8,1 + FT,,1 + 1C,1.0,,1.0,0.8229599999999999,0.6273799999999999,121.562656
37,Avco Lycoming,LTS 101-750C-1,Bell 222B/UT,548.0895,0.35097605278471855,,8.8,1 + FT,,1 + 1C,1.0,,1.0,0.79502,0.57404,110.676448
38,Avco Lycoming,T5311A,"Bell 204B, AB204A",820.27,0.413628623732424,11.0,6.1,1 + FT,,5 + 1C,1.0,,2.0,1.20904,0.5841999999999999,224.981632
39,Avco Lycoming,T5313B,"Bell 204B-2, Bell 205A1",1043.98,0.35280088494824396,13.0,7.4,1 + FT,,5 + 1C,2.0,,2.0,1.20904,0.5841999999999999,246.754048
40,Avco Lycoming,T5317A,"Bell 205A1, Kaman K-Max",1118.55,0.35888365882666196,12.0,8.0,1 + FT,,5 + 1C,2.0,,2.0,1.20904,0.5841999999999999,255.825888
41,Avco Lycoming,T5508D,Bell 214B/B-1/C,2184.9010000000003,0.36010021360234556,,,1 + FT,,7 + 1C,2.0,,2.0,1.1176,0.6095999999999999,274.42316
42,Avco Lycoming (Textron Lycoming),T55-L-714A,Boeing 414-100 Super D,3629.3219000000004,0.3041386939209,,9.3,1 + FT,,7 + 1C,2.0,,2.0,1.2319,0.72898,377.388544
43,Baranov (OMSK),TVD-20-03,"An-38-200, T-101V",1029.066,0.3077883582479508,,,1 + FT,,7 + 1C,2.0,,2.0,1.77038,0.8509,284.855776
44,Garrett,TPE331-1-100F,Porter,525.7185000000001,0.3473263884576678,,,1,,2C,3.0,,,1.0922,0.6604,152.406912
45,Garrett,TPE331-1-101,"Interceptor 400, PC-6/C1 Turbo-Porter",525.7185000000001,0.3473263884576678,,,1,,2C,3.0,,,1.0922,0.6604,152.406912
46,Garrett,TPE331-1-101B,Turbo 18 (Turboliner),525.7185000000001,0.3473263884576678,,,1,,2C,3.0,,,1.0922,0.6604,152.406912
47,Garrett,TPE331-1-101E,Jetliner 600,525.7185000000001,0.3473263884576678,,,1,,2C,3.0,,,1.0922,0.6604,152.406912
48,Garrett,TPE331-1-101F,"PC-6/C2-H2 Turbo-Porter, Peacemaker",525.7185000000001,0.3473263884576678,,,1,,2C,3.0,,,1.0922,0.6604,152.406912
49,Garrett,TPE331-1-101Z,S2R Turbo Thrush,525.7185000000001,0.3473263884576678,,,1,,2C,3.0,,,1.0922,0.6604,152.406912
50,Garrett,TPE331-1-151A,MU-2DP/F/G,525.7185000000001,0.3473263884576678,,8.3,1,,2C,3.0,,,1.0922,0.6604,152.406912
51,Garrett,TPE331-1-151G,Merlin IIB,525.7185000000001,0.3473263884576678,,8.3,1,,2C,3.0,,,1.0922,0.6604,152.406912
52,Garrett,TPE331-1-151K,Turbo Commander,525.7185000000001,0.3473263884576678,,8.3,1,,2C,3.0,,,1.0922,0.6604,152.406912
53,Garrett,TPE331-1-151Z,G164B,525.7185000000001,0.3473263884576678,,8.3,1,,2C,3.0,,,1.0922,0.6604,152.406912
54,Garrett,TPE331-2-201C,C-212,533.1755,0.3382022276400408,,8.3,1,,2C,3.0,,,1.0922,0.6604,152.406912
55,Garrett,TPE331-2-251A,Skyvan III,533.1755,0.3382022276400408,,8.3,1,,2C,3.0,,,1.0922,0.6604,152.406912
56,Garrett,TPE331-3-301,,626.388,0.3333360085373064,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
57,Garrett,TPE331-3-303,,626.388,0.3333360085373064,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
58,Garrett,TPE331-3A-301W,Jetstream 3M (not produced),626.388,0.3333360085373064,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
59,Garrett,TPE331-3U-303G,"Merlin III/IIIA/IV/IVA, Metro",674.1128,0.3333360085373064,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
